doc_id,board,title,tokens
670630,stock,[情報] 113/11/12 八大公股銀行買賣超排行,"113,11,12,八大,公股,銀行,買賣,超,排行"
116739,Baseball,[新聞] 引誘球太多非好事 容易消耗投手球威,"引誘,球,太多,非,好事,容易,消耗,投手,球威"
26225,Baseball,[新聞] 悍將凍結獅隊封王燈號m4 魔力藍第4勝,"悍將,凍結,獅隊,封王,燈號,m4,魔力,藍,第,4,勝"
777735,stock,[新聞] panasonic 傳退出半導體事業 賣給台灣新,"panasonic,傳,退出,半導體,事業,賣給,台灣,新"
288500,c_chat,[閒聊] 葛木老師帶caster強化，能單刷無限城嗎,"葛木,老師,帶,caster,強化,能,單刷,無限,城"
256894,c_chat,[閒聊] 夜帷有i 應該更適合佛傑家吧,"夜,帷,有,i,應該,更,適合,佛傑,家"
234145,Boy-Girl,[公告] crazym 水桶公告,"crazym,水桶,公告"
146316,Baseball,[討論] 難道只有我覺得大聯盟計時器時間太短嗎？,"難道,我,覺得,大聯盟,計時器,時間,太,短"
772408,stock,[請益]  00672l 油正二這樣算出老千嗎？,"00672,l,油正二,這樣,算出,老千"
107473,Baseball,[分享] 數據三冠王 中日馬丁尼茲證明央聯最強,"數據,三冠王,中日,馬丁尼茲,證明,央聯,最"
709715,stock,[新聞] 英減稅計畫 美財政部藉imf施壓特拉斯政府,"英,減稅,計畫,美,財政部,藉,imf,施壓,特拉,斯,政府"
776809,stock,[新聞] 半導體市值今年增4.15兆元 台積電貢獻最大,"半導體,市值,今年,增,4.15,兆元,台積電,貢獻,最,大"
571998,Military,[新聞] ffg(x)中獎名單,"ffg,x,中獎,名單"
91161,Baseball,[問題] 昨天澄清湖外野未開放的原因？,"昨天,澄清湖,外野,未,開放,原因"
619319,pc_shopping,[請益] 監視器主機 群達vs昇銳,"監視器,主機,群達,vs,昇,銳"
442537,hatepolitics,[討論] 實質影響力說的完全勝利,"實質,影響力,說,完全,勝利"
33326,Baseball,[情報] 今日 aaron judge,"今日,aaron,judge"
31244,Baseball,[新聞] 「台灣隊長」聊台語失言遭炎上　陳傑憲社,"台灣,隊長,聊,台語,失言,遭炎,上,陳傑憲,社"
98246,Baseball,[新聞] 大谷翔平翻譯水原一平涉賭 道奇證實開,"大谷翔平,翻譯,水原,一平,涉賭,道奇,證實"
